"Country.Code","NY.GDP.PCAP.CD","NY.GNP.PCAP.CD","SH.IMM.IDPT","SH.IMM.HEPB","SH.IMM.MEAS","SH.TBS.INCD","ST.INT.ARVL","AG.LND.TOTL.K2","TX.VAL.MRCH.WL.CD","TX.VAL.MRCH.HI.ZS","TM.VAL.MRCH.HI.ZS","TG.VAL.TOTL.GD.ZS","NY.GSR.NFCY.CD","SP.POP.0014.TO.ZS","SP.POP.1564.TO.ZS","SP.POP.65UP.TO.ZS","EN.POP.DNST","SP.POP.TOTL","SP.RUR.TOTL.ZS","BG.GSR.NFSV.GD.ZS","SH.TBS.DTEC.ZS","EG.ELC.ACCS.ZS","SP.DYN.LE00.IN","SM.POP.NETM","SH.TBS.CURE.ZS","SH.UHC.SRVS.CV.XD","SH.DTH.COMM.ZS","SH.XPD.CHEX.PC.CD","SH.XPD.GHED.PC.CD","SH.XPD.PVTD.PC.CD","SM.POP.TOTL.ZS"
"TLS",2035.533908,1820,83,83,77,498,75000,14870,35050352,35.32670371,48.28012918,23.71173964,-2.2e+08,37.78066427,57.90284343,4.316492294,85.27047747,1267972,69.422,21.07016432,60,80.38075256,69.007,-26924,88,52,45.6,79.89393546,44.55055724,10.05776911,0.914442949
"TGO",679.2570836,660,88,88,85,36,573000,54390,952656615,16.75867574,45.45444955,59.71571978,19452449.57,41.3345235,55.79600849,2.869468011,145.0467733,7889094,58.298,20.7099616,85,48,60.489,-9999,82,43,51.7,38.77137729,7.77303611,22.96328095,3.79000676
"TON",4364.015561,4300,81,81,85,10,54000,720,21580727,81.9919505,84.08137942,63.28364669,6826100.83,35.41575821,58.63058035,5.953661444,143.3291667,103197,76.869,43.46963037,87,97.96759033,70.701,-3999,82,58,11.7,203.1502239,133.8696103,29.91427424,5.397946689
"TTO",17129.91309,15950,99,99,90,21,375000,5130,7741903899,52.89727768,48.68171456,73.90327431,-766887429.8,20.41957257,68.84547391,10.73495352,270.9274854,1389858,46.816,13.69318535,87,100,73.245,-3999,67,74,9,1063.827062,561.6181674,501.3928879,3.66763033
"TUN",3447.50791,3500,97,97,96,35,8299000,155360,15534666074,79.0809079,62.60614848,95.90898935,-1373959046,24.17012035,67.51420057,8.315679079,74.44132338,11565204,31.055,17.73558862,80,100,76.31,-20000,89,70,7.8,256.5018448,145.2722755,111.0630425,0.503849717
"TUR",9370.176344,10420,98,98,96,16,45768000,769630,1.67921e+11,63.10577289,52.46153765,50.69201173,-11799926684,24.64941014,66.86737692,8.48321294,106.9601289,82319724,24.857,9.317037559,87,100,77.161,1419610,86,74,4.4,468.6472813,367.61715,101.0301313,3.769001103
"TKM",6966.635411,6740,99,99,99,46,2700,469930,9572830197,2.961523877,35.10365148,30.66646106,-1716959319,30.82236394,64.7510016,4.426634462,12.45059477,5850908,48.407,3.971727974,80,100,67.956,-25001,85,70,17.2,422.8488287,78.39662056,343.6591331,3.654711583
"TUV",3700.710677,5430,89,89,88,270,2700,30,10067240,5.779895979,88.51799041,12.76706358,21519528.81,12.27828264,47.42066751,1.085000985,383.6,11508,37.613,59.07433157,87,100,52.24,-3266243,68,25,1.3,507.3523714,428.7973608,16.87653028,1.421944332
"UGA",642.7767443,620,93,93,86,200,1402000,200520,2950207396,42.25414748,38.59723024,35.1838794,-869299078.1,46.93052518,51.1284879,1.94098692,213.0617345,42723139,76.226,16.40370694,65,22,62.516,843469,72,45,54.5,37.60696696,6.2271061,16.19533631,1.920126168
"UKR",3095.173581,2660,50,52,91,80,14104000,579290,47182315526,48.10600564,51.90130564,79.79217718,-3068340656,15.81241317,67.75290039,16.43468644,77.02966735,44622516,30.648,23.11430954,75,100,71.78097561,50001,76,68,4.1,141.1911478,59.88135541,80.13860806,10.78646116
